股票代碼
項目編號
現金及約當現金
項目編號
存貨
項目編號
應收帳款
項目編號
應收票據淨額
項目編號
應收帳款淨額
項目編號
應收帳款－關係人淨額
項目編號
其他應收款
項目編號
其他應收款－關係人
項目編號
合約負債－流動
項目編號
普通股股本
項目編號
營業收入合計
項目編號
營業成本合計
項目編號
營業毛利（毛損）
項目編號
營業費用合計
項目編號
營業利益（損失）
項目編號
營業外收入及支出合計
項目編號
繼續營業單位稅前淨利（淨損）
項目編號
所得稅費用（利益）合計
項目編號
本期淨利（淨損）
項目編號
基本每股盈餘合計
項目編號
期初現金及約當現金餘額
項目編號
期末現金及約當現金餘額
